iter	RMSE
0	0.444667283
1	0.4356532285
2	0.4324282825
3	0.4256572779
4	0.4193590858
5	0.4137792174
6	0.4078125448
7	0.4023430317
8	0.3969741312
9	0.3869525232
10	0.3819520114
11	0.3774034416
12	0.3716521748
13	0.3673278149
14	0.3629027115
15	0.3548759975
16	0.3504518339
17	0.3446610276
18	0.3389328378
19	0.3320817779
20	0.329251898
21	0.3244469466
22	0.3203914828
23	0.3168955513
24	0.3126655049
25	0.3072575227
26	0.3018008503
27	0.2970953775
28	0.2935849785
29	0.2900819864
30	0.2831040494
31	0.2799276814
32	0.275024755
33	0.2697385401
34	0.2660248827
35	0.2607457185
36	0.2565086772
37	0.252821572
38	0.2498873793
39	0.2465529658
40	0.2433769795
41	0.240557691
42	0.2373998241
43	0.2357116137
44	0.2320452668
45	0.2287169869
46	0.2262185811
47	0.2220214895
48	0.2178989834
49	0.213834246
50	0.2110506563
51	0.2081841353
52	0.2043972139
53	0.2021312685
54	0.1996554356
55	0.1963277114
56	0.1932915534
57	0.1906505109
58	0.1872410642
59	0.1857837201
60	0.1841706069
61	0.1809099728
62	0.1782662375
63	0.1763391292
64	0.1747016727
65	0.1737321026
66	0.1720254134
67	0.1696852976
68	0.1671052784
69	0.1654176039
70	0.1633225237
71	0.1609184963
72	0.1590987143
73	0.1572140205
74	0.1556628347
75	0.1543552307
76	0.1534329264
77	0.1513749713
78	0.1496296146
79	0.1472342782
80	0.1456569312
81	0.1445989099
82	0.1424292713
83	0.1417373842
84	0.1402181877
85	0.1385028811
86	0.1374404629
87	0.1359905539
88	0.1352848493
89	0.1328010976
90	0.130720832
91	0.1292471316
92	0.1278413886
93	0.1261703395
94	0.124777204
95	0.1229828313
96	0.1225960397
97	0.1208819685
98	0.1200591993
99	0.1190799906
100	0.1186504949
101	0.1171453442
102	0.1158154693
103	0.1141901077
104	0.113263006
105	0.1124769568
106	0.1112063042
107	0.1096219814
108	0.108793484
109	0.1073711932
110	0.106864627
111	0.1057055937
112	0.1041256686
113	0.1030436767
114	0.1018266154
115	0.1011732254
116	0.0998207265
117	0.09858245744
118	0.09755389012
119	0.09629308849
120	0.09566087254
121	0.09433690517
122	0.09314915692
123	0.09215207612
124	0.09189645835
125	0.09144321386
126	0.0902952162
127	0.08935755846
128	0.08819392426
129	0.08710812491
130	0.08654219334
131	0.08547525403
132	0.08480589209
133	0.08389320304
134	0.08313398492
135	0.08211278844
136	0.08088613553
137	0.08020386742
138	0.07942941494
139	0.07874495162
140	0.07846876286
141	0.07768462218
142	0.07663174108
143	0.07567370158
144	0.07486213244
145	0.07464082741
146	0.07426492731
147	0.07351165962
148	0.07268007399
149	0.07218392053
150	0.07136028263
151	0.07096777211
152	0.07064912892
153	0.07023850816
